"admin_boundry.GID_nmbr" "X2000" "X2001" "X2002" "X2003" "X2004" "X2005" "X2006" "X2007" "X2008" "X2009" "X2010" "X2011" "X2012" "X2013" "X2014" "X2015" "X2016" "X2017" "X2018" "X2019"
"1" 100401 5.79270121420937 5.77240819766604 5.79664352844501 5.86778148837473 5.98637954394023 6.14374160218513 6.3137185518769 6.47927009374246 6.62495383997073 6.74584486018652 6.84785076119434 6.9389254827609 7.03756318421199 7.161861915698 7.33144256164288 7.46158060808291 7.7803852749967 7.95981032272865 8.26997736678726 8.51929317671677
"2" 100402 4.65137336095174 4.63425316492716 4.65338655471802 4.71181330998739 4.8085068321228 4.93540009180705 5.07440010706584 5.20837333679199 5.32621344248454 5.42492015838623 5.50751993815104 5.58203982035319 5.66362681070964 5.76033320109049 5.78378650665283 5.95916002909342 5.98877338409424 6.01727989196777 6.08025324503581 6.13955980936686
"3" 100403 7.14253011616794 7.11178766838228 7.14417178943904 7.23282850149906 7.3778383731842 7.56852003059002 7.77923244659347 7.98337876435482 8.16441442027237 8.31010636657175 8.43127288481202 8.5498940149943 8.67742936779754 8.82366690972839 9.09478240302115 9.30700469498682 9.59485816714739 10.1026664695354 10.4515961059416 10.902676587153
"4" 102301 12.4879999160767 12.4223337173462 12.2773331006368 12.275333404541 11.4829998016357 11.4676666259766 10.9736666679382 10.5236670176188 10.8609999020894 10.5250002543132 10.5449999173482 9.93333355585734 10.4233330090841 10.1350000699361 9.59233299891154 9.88566652933756 9.51666657129923 9.42333316802979 9.37166627248128 9.22833347320557
"5" 102302 9.90333346967344 9.6382032500373 9.86855529855799 9.95572226135819 9.43518492027565 9.52448189700091 9.4067961551525 9.17679673654062 9.37449985080295 9.37164801138419 9.40240701039632 8.98740786093253 9.5980552567376 9.50149972350509 9.0384996732076 9.49848187411273 9.20575929571081 9.43714798821343 9.46281482555248 9.21303733189901
"6" 102303 7.96747614088513 7.87902362006051 8.15380994478861 8.50666622888474 7.79438082377116 8.05288112731207 7.79604778970991 7.85042878559658 8.1747377145858 8.10988133294242 8.22869063559033 8.14421423276266 8.55930926686242 8.50083320481437 8.12597630137489 8.73033326012748 8.53152351152329 8.69964324860346 8.98400022870018 8.99085714703515
"7" 102304 9.77472422040742 9.66263808875248 9.70543090228377 9.75027595717332 9.30265541734367 9.4112411860762 9.25562113729016 9.1319654398951 9.2682582592142 9.11803477385948 9.1891900259873 9.03158603865525 9.36503490908393 9.40172455228608 8.78260319808434 9.39601702525698 9.01489650792089 9.16831019829059 9.28181051385814 9.24620705637439
"8" 102305 7.98418934280808 7.90545963596653 7.9091351869944 8.11424327541042 7.6674322050971 7.73548654607824 7.30935134114446 7.28367583816116 7.55340551685643 7.39862158491805 7.51983785629272 7.25386471361727 7.52981071214418 7.61535150940354 7.22394578521316 7.5705673887923 7.40705393456124 7.42562141933957 7.61483762070939 7.42129712491422
"9" 102306 10.3559999465942 10.451000213623 10.6269998550415 10.7320003509521 10.1000003814697 10.4289999008179 10.1440000534058 10.1479997634888 10.6300001144409 10.5410003662109 10.6619997024536 10.3409996032715 10.7530002593994 11.1319999694824 10.5150003433228 11.0279998779297 10.7180004119873 11.2069997787476 11.3819999694824 11.0270004272461
"10" 102307 8.37100028991699 8.11100006103516 8.25100040435791 8.45499992370605 7.84299993515015 8.04800033569336 7.94099998474121 7.86100006103516 8.53299999237061 7.8769998550415 8.05500030517578 7.87599992752075 8.2209997177124 7.92700004577637 8.11800003051758 8.51399993896484 8.02099990844727 8.30799961090088 8.0959997177124 7.9060001373291
